seq,first,last,age,street,city,state,zip,dollar,pick
26,Isabel,Rose,72,Godac Way,Kojuhfe,NY,91774,$6761.07,WHITE
27,Aurora,Schmidt,119,Hojbel Pass,Doejbub,GA,10668,$77.23,GREEN
28,Isabelle,Nelson,114,Ribi Plaza,Hariiwa,ID,44455,$1236.94,RED
29,Sadie,Murray,110,Fafki Extension,Cakcasuc,UT,14310,$8477.34,WHITE
30,Angelina,Lawson,26,Fahzok Loop,Cofjepuh,AR,28418,$800.70,YELLOW
31,Sawyer,Evans,112,Zukos River,Fotuswig,NH,36598,$8311.52,WHITE
32,Ava,Jacobs,21,Socde Highway,Ditcemsu,IA,11078,$7299.51,WHITE
33,Madelyn,Greene,104,Defbaz Square,Tomemke,HI,17210,$3672.90,WHITE
34,Ariana,Carroll,62,Lalig Mill,Israleku,NY,83901,$9866.80,GREEN
35,Landen,Bryan,91,Lovce Mill,Lohohsuh,ND,19842,$1087.26,GREEN
36,Izabella,Romero,23,Iwasu Key,Cubutsej,NM,96930,$5484.02,WHITE
37,Mackenzie,Rodriquez,117,Miihu Ridge,Cojmazuw,ME,32123,$684.31,RED
38,Jordyn,Ballard,51,Kirmob Drive,Rudifecof,ND,66766,$4699.07,BLUE
39,Hunter,Brooks,48,Zalri Manor,Jopotjod,AR,97538,$5492.76,GREEN
40,Kaleb,Marshall,10,Rafo Square,Notajdo,MN,96826,$6349.50,YELLOW
41,Julian,Jefferson,110,Zaca Extension,Ecifve,ID,01718,$408.39,BLUE
42,Matthew,Bradley,37,Ried Junction,Corgiwol,CA,01717,$4821.09,YELLOW
43,Emerson,Cobb,117,Lufpe Glen,Ulbutawa,AP,00612,$1314.67,RED
44,Elliot,Austin,78,Asoura Highway,Kezagin,IN,94787,$105.82,GREEN
45,Makayla,Gonzalez,23,Uwhi Drive,Lonolaz,WA,68397,$6278.18,WHITE
46,Jada,Stokes,42,Cizge Place,Rifazowu,PA,14213,$6158.21,RED
47,Grace,Alvarado,51,Geweg Highway,Riwulewi,AA,89401,$4204.13,RED
48,Eli,Ortiz,85,Gebla Road,Nuasli,MN,71098,$3913.78,RED
49,Danielle,Gardner,89,Ruwur Plaza,Bogpelsed,AL,31302,$3698.64,WHITE
50,Wesley,McKenzie,31,Azniv Square,Gewewir,VT,55255,$6063.02,BLUE
51,Josue,Burgess,2,Wervub View,Vosvowco,OR,72629,$4657.38,RED
52,Angelina,Cook,35,Ovire River,Issaat,MN,25483,$7806.40,WHITE
53,John,Wells,93,Rewiw Glen,Votagjoz,GA,69835,$6451.29,RED
54,Emma,Flores,81,Vamip Plaza,Kajrocug,WV,23802,$7774.17,GREEN
55,Julia,Schmidt,31,Jenaw Circle,Dobkinis,FL,46660,$5457.28,BLUE
56,Elizabeth,Salazar,80,Legi Loop,Dukukuh,IA,96852,$7761.16,BLUE
57,Isaiah,Gardner,110,Wivde Circle,Oridurvi,DC,12846,$8739.67,GREEN
58,Gracie,Bates,41,Ponus Place,Citkavu,DE,57777,$9692.03,YELLOW
59,Nolan,Byrd,112,Veeh Pass,Jehopuro,MO,74344,$6960.20,GREEN
60,Avery,Wagner,9,Pefi Square,Zuvegaj,AR,44263,$8947.85,WHITE
61,Nora,Montgomery,113,Rozij Street,Koksoene,AZ,98836,$602.99,RED
62,Arianna,Herrera,88,Sarvup Path,Sooseji,WY,82616,$4792.77,BLUE
63,Jada,Garner,120,Jatasi Park,Nojcuzno,RI,90010,$6073.03,WHITE
64,Elias,Perkins,93,Jehut Pike,Abukunuf,DC,54767,$6139.37,WHITE
65,Arabella,Perez,69,Joaf Court,Hisahod,AS,76875,$7408.57,BLUE
66,Emma,Underwood,67,Dulo Street,Kogeto,WI,72891,$8446.60,YELLOW
67,Kingston,Carter,36,Faom Avenue,Zetwiweb,OH,64876,$4789.40,GREEN
68,Maxwell,Cummings,30,Motdez Avenue,Sacako,LA,06847,$1992.13,GREEN
69,Mariah,Mendoza,23,Tiri Center,Duwhitzaw,MA,15459,$3217.71,GREEN
70,Athena,Klein,102,Laser Trail,Zuugiul,MN,18406,$2949.61,WHITE
71,Skylar,Burton,97,Mojev Path,Kuvikmoc,PR,44211,$1597.13,YELLOW
72,Peyton,Chavez,28,Jeah Ridge,Wucivi,ND,40476,$4327.81,YELLOW
73,Timothy,Lowe,56,Tuve Court,Venedsec,WI,24893,$5261.95,WHITE
74,Allison,Fields,16,Sesu Way,Nileap,MP,82034,$826.11,WHITE
75,Bryan,Flores,5,Facaza Terrace,Zawahzi,RI,61705,$8376.23,RED
76,David,Andrews,10,Edkut Pass,Zolcuhzes,GA,61513,$8421.48,BLUE
77,Camila,Walters,108,Usro Highway,Sasopme,MP,32452,$7563.25,WHITE
78,Bella,Pratt,98,Amwi Avenue,Cihmiti,CT,17224,$637.22,WHITE
79,Allison,McLaughlin,69,Kohdi Loop,Werdotog,SD,39013,$5244.64,BLUE
80,Kaylee,Ross,75,Futrid Manor,Acduhpuh,NV,05147,$5456.22,WHITE
81,Steven,Lowe,23,Seeti Parkway,Gahivgiv,AS,68456,$592.29,WHITE
82,Bella,George,4,Pubhec Pike,Ulekunir,CO,97268,$169.48,GREEN
83,Melody,Walker,4,Undob Circle,Saunet,PA,80391,$9920.09,GREEN
84,Sawyer,Atkins,79,Hikdi Turnpike,Dahepi,OR,57994,$7471.59,YELLOW
85,Gianna,Steele,40,Owtiw Glen,Zadvieb,ME,11876,$1507.69,GREEN
86,Makayla,Becker,15,Lokad Lane,Fujhacgu,WA,25737,$7467.72,BLUE
87,Brantley,Walters,69,Febon Street,Nabtihije,SC,02542,$7257.07,WHITE
88,Juliana,Cross,13,Zobsiv Grove,Uzifaki,FM,21743,$1488.71,BLUE
89,Sean,Klein,17,Leba Terrace,Izdewon,GA,30293,$5700.63,BLUE
90,Damien,Horton,82,Kazo Mill,Cuboksuh,MP,33384,$8758.43,RED
91,Eric,Mason,19,Keama Street,Farnutpez,MO,68976,$8034.67,GREEN
92,Ashlyn,Hamilton,56,Wiru Mill,Lisdiscu,VA,16706,$7255.83,WHITE
93,Julian,Howell,37,Wino Ridge,Wobsubli,WI,64303,$1334.08,WHITE
94,Stella,Jimenez,5,Cavluz Avenue,Tuolonu,AS,33568,$4465.42,YELLOW
95,Josue,Colon,42,Canza Drive,Nurwiivu,NC,47638,$7535.46,YELLOW
96,Ivy,Barnes,92,Wigmi Pass,Homipjo,PR,19723,$1882.45,WHITE
97,Mariah,Wong,55,Kiim Manor,Vuwwemdal,NE,49217,$9643.84,RED
98,Gabriela,Edwards,35,Okono Place,Vadezzu,NJ,97838,$2046.33,GREEN
99,Lauren,Briggs,82,Ocrab Path,Tuasri,IA,40561,$3326.92,WHITE
100,Aurora,Hill,72,Fehara Center,Resozhuf,IN,30788,$897.89,WHITE
